Startdatum,Enddatum,Ort,Anzahl der Waldbrände,Jahreszeit,Dauer,avgtemp_c,maxwind_kph,totalprecip_mm,avghumidity,Waldfläche in Hektar
2010-09-01,2010-09-30,Mecklenburg-Vorpommern,0,3,30,13.056666666666668,20.660000000000004,3.86,84.06666666666666,490225
2010-09-01,2010-09-30,Niedersachsen,1,3,30,12.85,16.776666666666667,3.779666666666667,86.53333333333333,1014470
2010-09-01,2010-09-30,Nordrhein-Westfalen,0,3,30,12.893333333333334,14.156666666666666,2.5766666666666667,87.36666666666666,849507
2010-09-01,2010-09-30,Rheinland-Pfalz,0,3,30,12.486666666666668,12.859999999999998,2.8393333333333337,82.46666666666667,805440
2010-09-01,2010-09-30,Saarland,0,3,30,11.89666666666667,13.623333333333331,2.892,82.1,85623
2010-09-01,2010-09-30,Sachsen,0,3,30,12.150000000000002,13.916666666666668,4.634,84.53333333333333,495184
2010-09-01,2010-09-30,Sachsen-Anhalt,4,3,30,13.083333333333332,14.753333333333334,3.6726666666666654,81.96666666666667,456545
2010-09-01,2010-09-30,Schleswig-Holstein,0,3,30,13.0,19.956666666666663,3.437666666666667,84.06666666666666,162014
2010-09-01,2010-09-30,Thuringen,0,3,30,11.783333333333337,13.823333333333334,3.1420000000000003,83.1,527936
2010-10-01,2010-10-31,Baden-Wurttemberg,1,3,31,8.629032258064516,12.616129032258064,1.532258064516129,81.6774193548387,1352564
2010-10-01,2010-10-31,Bayern,1,3,31,5.241935483870968,11.119354838709675,2.152258064516129,85.96774193548387,2487176
2010-10-01,2010-10-31,Berlin,0,3,31,7.951612903225806,16.258064516129036,0.5712903225806453,84.0,15752
2010-10-01,2010-10-31,Brandenburg,0,3,31,8.083870967741934,17.325806451612905,0.4806451612903226,85.25806451612904,1030796
2010-10-01,2010-10-31,Bremen,0,3,31,9.248387096774191,19.47419354838709,1.3290322580645155,88.74193548387096,461
2010-10-01,2010-10-31,Hamburg,0,3,31,8.912903225806453,18.51935483870968,1.3483870967741938,88.54838709677419,4016
2010-10-01,2010-10-31,Hessen,0,3,31,8.590322580645163,12.758064516129034,1.5419354838709671,81.16129032258064,839306
2010-10-01,2010-10-31,Mecklenburg-Vorpommern,0,3,31,8.845161290322581,22.10967741935484,1.4322580645161291,84.61290322580645,490225
2010-10-01,2010-10-31,Niedersachsen,1,3,31,8.732258064516127,18.74516129032257,0.9516129032258064,87.61290322580645,1014470
2010-10-01,2010-10-31,Nordrhein-Westfalen,0,3,31,9.377419354838713,16.783870967741933,1.42258064516129,86.70967741935483,849507
2010-10-01,2010-10-31,Rheinland-Pfalz,0,3,31,8.296774193548389,14.580645161290326,1.4806451612903229,83.7741935483871,805440
2010-10-01,2010-10-31,Saarland,0,3,31,7.922580645161288,15.229032258064514,1.3903225806451611,82.93548387096774,85623
2010-10-01,2010-10-31,Sachsen,1,3,31,6.829032258064517,14.896774193548389,0.4161290322580645,83.70967741935483,495184
2010-10-01,2010-10-31,Sachsen-Anhalt,0,3,31,8.109677419354838,16.545161290322575,0.6709677419354839,84.45161290322581,456545
2010-10-01,2010-10-31,Schleswig-Holstein,0,3,31,9.39032258064516,22.170967741935485,2.7254838709677416,86.7741935483871,162014
2010-10-01,2010-10-31,Thuringen,0,3,31,6.8516129032258055,14.274193548387098,0.829032258064516,86.80645161290323,527936
2010-11-01,2010-11-30,Baden-Wurttemberg,0,3,30,4.936666666666667,14.943333333333335,3.68,91.26666666666668,1352564
2010-11-01,2010-11-30,Bayern,0,3,30,2.096666666666666,13.143333333333333,2.1926666666666668,91.4,2487176
2010-11-01,2010-11-30,Berlin,0,3,30,4.47,16.206666666666663,3.806,94.9,15752
2010-11-01,2010-11-30,Brandenburg,0,3,30,4.403333333333335,17.866666666666667,3.563,94.23333333333332,1030796
2010-11-01,2010-11-30,Bremen,0,3,30,4.343333333333334,19.56,2.3456666666666663,93.66666666666669,461
2010-11-01,2010-11-30,Hamburg,0,3,30,4.119999999999999,18.93333333333333,3.585,93.66666666666669,4016
2010-11-01,2010-11-30,Hessen,0,3,30,5.033333333333333,14.186666666666666,2.87,90.46666666666668,839306
2010-11-01,2010-11-30,Mecklenburg-Vorpommern,0,3,30,4.599999999999998,22.96333333333333,3.741333333333333,91.9,490225
2010-11-01,2010-11-30,Niedersachsen,0,3,30,4.206666666666667,19.10666666666668,2.5836666666666663,93.63333333333334,1014470
2010-11-01,2010-11-30,Nordrhein-Westfalen,0,3,30,4.956666666666666,18.920000000000005,3.7166666666666655,93.86666666666666,849507
2010-11-01,2010-11-30,Rheinland-Pfalz,0,3,30,4.903333333333335,17.020000000000003,3.7633333333333336,94.16666666666669,805440
2010-11-01,2010-11-30,Saarland,0,3,30,4.336666666666665,17.033333333333335,3.743333333333333,94.76666666666668,85623
2010-11-01,2010-11-30,Sachsen,0,3,30,4.423333333333332,17.529999999999994,3.846666666666666,93.76666666666668,495184
2010-11-01,2010-11-30,Sachsen-Anhalt,0,3,30,4.526666666666667,18.58,3.963333333333333,93.36666666666666,456545
2010-11-01,2010-11-30,Schleswig-Holstein,0,3,30,4.296666666666667,23.006666666666668,3.900333333333333,90.16666666666669,162014
2010-11-01,2010-11-30,Thuringen,0,3,30,3.6433333333333313,17.273333333333333,2.9493333333333336,94.2,527936
2010-12-01,2010-12-31,Baden-Wurttemberg,0,4,31,-2.6387096774193552,14.170967741935485,5.364193548387097,96.58064516129032,1352564
2010-12-01,2010-12-31,Bayern,0,4,31,-5.209677419354839,14.248387096774197,3.215483870967742,96.7741935483871,2487176
2010-12-01,2010-12-31,Berlin,0,4,31,-5.403225806451612,17.070967741935487,2.325806451612903,98.29032258064515,15752
2010-12-01,2010-12-31,Brandenburg,0,4,31,-5.035483870967742,20.048387096774192,2.3322580645161284,97.74193548387096,1030796
2010-12-01,2010-12-31,Bremen,0,4,31,-4.31290322580645,21.06774193548388,1.5870967741935484,95.58064516129032,461
2010-12-01,2010-12-31,Hamburg,0,4,31,-4.761290322580645,20.945161290322584,1.3516129032258062,96.12903225806453,4016
2010-12-01,2010-12-31,Hessen,0,4,31,-2.4032258064516125,13.62903225806451,5.539354838709677,95.48387096774194,839306
2010-12-01,2010-12-31,Mecklenburg-Vorpommern,0,4,31,-4.106451612903226,25.16129032258064,1.5193548387096778,94.06451612903226,490225
2010-12-01,2010-12-31,Niedersachsen,0,4,31,-4.75483870967742,21.06129032258065,1.667741935483871,96.06451612903226,1014470
2010-12-01,2010-12-31,Nordrhein-Westfalen,0,4,31,-3.2,18.87741935483871,2.4406451612903224,96.38709677419357,849507
2010-12-01,2010-12-31,Rheinland-Pfalz,0,4,31,-3.0516129032258066,15.987096774193544,4.413548387096775,97.4516129032258,805440
2010-12-01,2010-12-31,Saarland,0,4,31,-3.441935483870968,15.935483870967744,4.222258064516129,97.6774193548387,85623
2010-12-01,2010-12-31,Sachsen,0,4,31,-6.077419354838709,19.503225806451617,3.4696774193548383,97.61290322580643,495184
2010-12-01,2010-12-31,Sachsen-Anhalt,0,4,31,-5.0774193548387085,20.39032258064516,2.541935483870968,97.51612903225806,456545
2010-12-01,2010-12-31,Schleswig-Holstein,0,4,31,-3.5903225806451613,22.81935483870968,1.3258064516129031,93.83870967741936,162014
2010-12-01,2010-12-31,Thuringen,0,4,31,-5.877419354838709,16.91290322580645,2.5361290322580645,98.4516129032258,527936
2011-01-01,2011-01-31,Baden-Wurttemberg,0,4,31,0.6903225806451614,13.416129032258064,3.3203225806451617,92.87096774193547,1352564
2011-01-01,2011-01-31,Bayern,0,4,31,-3.867741935483871,12.59032258064516,4.0125806451612895,94.6774193548387,2487176
2011-01-01,2011-01-31,Berlin,0,4,31,0.6354838709677418,14.729032258064512,1.1193548387096777,95.6774193548387,15752
