Startdatum,Enddatum,Ort,Jahreszeit,Dauer,avgtemp_c,maxwind_kph,totalprecip_mm,avghumidity,Waldfläche in Hektar,Anzahl der Waldbrände
2012-04-01,2012-04-30,Sachsen-Anhalt,1,30,8.9,17.4,0.8,72.6,456545,5
2017-01-01,2017-01-31,Sachsen,4,31,-4.2,18.4,1.6,90.8,495184,0
2015-04-01,2015-04-30,Rheinland-Pfalz,1,30,9.3,16.2,1.7,73.0,805440,8
2016-10-01,2016-10-31,Mecklenburg-Vorpommern,3,31,9.6,23.2,1.3,83.1,490225,0
2021-04-01,2021-04-30,Thuringen,1,30,5.1,18.3,1.5,75.4,540752,5
2015-08-01,2015-08-31,Bayern,2,31,18.5,10.4,3.1,74.2,2487176,34
2016-10-01,2016-10-31,Hessen,3,31,9.4,10.7,1.4,82.6,839306,2
2017-08-01,2017-08-31,Saarland,2,31,17.9,13.2,2.4,79.6,85623,0
2013-03-01,2013-03-31,Rheinland-Pfalz,1,31,1.6,15.6,1.5,83.9,805440,0
2012-05-01,2012-05-31,Thuringen,1,31,13.7,15.0,1.8,75.2,527936,5
2019-10-01,2019-10-31,Berlin,3,31,12.5,16.8,1.9,73.9,15752,0
2014-08-01,2014-08-31,Brandenburg,2,31,17.6,15.1,2.2,68.8,1030796,2
2017-10-01,2017-10-31,Niedersachsen,3,31,11.8,19.9,2.2,83.8,1014470,0
2015-07-01,2015-07-31,Thuringen,2,31,19.0,17.5,1.8,69.7,527936,5
2021-12-01,2021-12-31,Brandenburg,4,31,2.5,16.7,1.6,87.8,1034252,0
2022-06-01,2022-06-30,Sachsen-Anhalt,2,30,19.8,16.0,1.8,60.1,460769,40
2011-04-01,2011-04-30,Mecklenburg-Vorpommern,1,30,10.2,22.1,1.0,76.1,490225,8
2011-07-01,2011-07-31,Niedersachsen,2,31,16.0,18.1,3.0,87.4,1014470,6
2018-10-01,2018-10-31,Niedersachsen,3,31,11.7,16.7,0.5,75.6,1014470,2
2017-09-01,2017-09-30,Brandenburg,3,30,14.3,15.6,1.6,75.3,1030796,0
2015-01-01,2015-01-31,Hamburg,4,31,2.4,26.2,3.3,88.5,4016,0
2018-08-01,2018-08-31,Thuringen,2,31,20.1,16.2,0.6,67.1,527936,11
2010-02-01,2010-02-28,Sachsen-Anhalt,4,28,-1.2,19.6,1.3,96.2,456545,0
2018-01-01,2018-01-31,Hamburg,4,31,3.4,21.5,3.5,84.6,4016,0
2020-12-01,2020-12-31,Bremen,4,31,4.1,19.4,2.9,89.6,461,0
2012-04-01,2012-04-30,Brandenburg,1,30,8.8,18.3,1.0,73.0,1030796,35
2013-04-01,2013-04-30,Sachsen-Anhalt,1,30,8.2,16.2,1.3,82.5,456545,8
2012-07-01,2012-07-31,Thuringen,2,31,17.0,14.8,3.5,78.7,527936,0
2016-02-01,2016-02-29,Berlin,4,29,3.5,21.9,2.0,85.6,15752,0
2011-12-01,2011-12-31,Baden-Wurttemberg,4,31,3.6,21.1,7.4,89.8,1352564,0
2013-08-01,2013-08-31,Hamburg,2,31,18.2,15.8,0.8,72.8,4016,0
2012-02-01,2012-02-29,Rheinland-Pfalz,4,1,-2.5,16.1,0.5,83.1,805440,1
2016-08-01,2016-08-31,Thuringen,2,31,17.6,13.4,1.2,74.3,527936,7
2019-04-01,2019-04-30,Rheinland-Pfalz,1,30,9.5,16.3,2.7,77.6,805440,2
2016-04-01,2016-04-30,Niedersachsen,1,30,7.9,20.7,1.7,72.8,1014470,3
2013-12-01,2013-12-31,Nordrhein-Westfalen,4,31,4.4,24.8,2.2,88.0,849507,1
2013-10-01,2013-10-31,Nordrhein-Westfalen,3,31,11.5,19.4,2.9,85.3,849507,0
2011-02-01,2011-02-28,Baden-Wurttemberg,4,28,2.2,12.1,1.0,86.3,1352564,1
2018-05-01,2018-05-31,Mecklenburg-Vorpommern,1,31,14.9,21.6,0.5,79.5,490225,4
2016-06-01,2016-06-30,Nordrhein-Westfalen,2,30,16.9,15.9,4.6,85.5,849507,3
2017-06-01,2017-06-30,Hamburg,2,30,16.4,22.0,4.3,81.7,4016,0
2016-11-01,2016-11-30,Bremen,3,30,4.4,20.1,1.8,84.8,461,0
2018-12-01,2018-12-31,Sachsen-Anhalt,4,31,4.4,20.2,2.4,83.3,456545,0
2015-05-01,2015-05-31,Rheinland-Pfalz,1,31,13.0,16.7,1.7,76.8,805440,2
2020-01-01,2020-01-31,Niedersachsen,4,31,4.7,18.4,1.4,84.9,1014470,2
2018-06-01,2018-06-30,Hamburg,2,30,17.6,16.6,1.2,74.8,4016,0
2019-03-01,2019-03-31,Bayern,1,31,3.3,12.5,4.5,84.1,2487176,13
2011-01-01,2011-01-31,Mecklenburg-Vorpommern,4,31,0.4,21.6,1.5,95.6,490225,0
2011-03-01,2011-03-31,Hamburg,1,31,4.0,18.5,0.5,80.5,4016,0
2016-09-01,2016-09-30,Thuringen,3,30,17.3,12.1,1.4,74.7,527936,2
2017-10-01,2017-10-31,Hamburg,3,31,11.9,21.0,3.0,84.5,4016,0
2017-10-01,2017-10-31,Schleswig-Holstein,3,31,11.6,24.4,3.5,85.3,162014,0
2016-06-01,2016-06-30,Baden-Wurttemberg,2,30,17.1,12.7,3.7,84.0,1352564,2
2022-06-01,2022-06-30,Hamburg,2,30,16.9,16.7,1.9,72.2,4270,0
2020-03-01,2020-03-31,Bayern,1,31,2.9,10.8,2.6,83.1,2487176,4
2016-06-01,2016-06-30,Sachsen,2,30,18.0,13.2,2.4,79.7,495184,6
2021-03-01,2021-03-31,Sachsen-Anhalt,1,31,5.4,17.0,1.1,74.7,460769,1
2015-10-01,2015-10-31,Rheinland-Pfalz,3,31,9.0,11.9,0.9,83.4,805440,0
